%time,field.data
1569683677441400703,1.130082877
1569683677441596483,1.115463489
1569683677441617198,0.678630326
1569683677441769256,0.673341567
1569683677441776383,0.95070972
1569683677441896169,0.95082806
1569683677441910535,1.21340519
1569683677442171643,1.208114292
1569683677442226506,0.69970381
1569683677442299198,0.684126521
1569683677442315808,-0.483898658
1569683677442409189,-0.502413455
1569683677442426050,-1.835844164
1569683677442535466,-1.84896939
1569683677442547911,-2.599421544
1569683677442678646,-2.595549978
1569683677442695814,-2.705058584
1569683677442831065,-2.713447973
1569683677442846148,-2.643960915
1569683677442968061,-2.618907731
1569683677442981674,-1.881031259
1569683677443207662,-1.869470105
1569683677443212212,0.881714989
1569683677443335104,0.915562117
1569683677443341545,3.179081765
1569683677443484956,3.174929784
1569683677443498421,3.219752517
1569683677443645208,3.205762929
1569683677443658210,3.042532349
1569683677443783697,3.035131812
1569683677443798548,2.795472272
1569683677443904286,2.771254284
1569683677443919171,2.437160296
1569683677444035964,2.438303808
1569683677444042275,1.659233607
1569683677444196785,1.578815591
1569683677444209727,0.337129719
1569683677444319872,0.267333395
1569683677444332191,-1.197853784
1569683677444532820,-1.303000481
1569683677444544774,-2.488507803
1569683677444646860,-2.575334943
1569683677444657851,-3.605410332
1569683677445083425,-3.604454802
1569683677445091273,-4.185349703
1569683677445197567,-4.223342676
1569683677445209712,-4.158945094
1569683677445366076,-4.128768686
1569683677445372812,-3.457997408
1569683677445492301,-3.459704012
1569683677445498843,-2.106380713
1569683677445888436,-2.05917355
1569683677445896208,3.226038568
1569683677446013400,3.249407558
1569683677446021470,3.614484274
1569683677446145640,3.589240694
1569683677446153098,2.872436446
1569683677446282885,2.804062636
1569683677446293412,1.750055873
1569683677446411905,1.720047305
1569683677446432838,1.555573998
1569683677446530457,1.582519043
1569683677446548360,1.780756203
1569683677446760341,1.787751769
1569683677446769261,1.551531384
1569683677446895206,1.555055432
